x,y,crs,id_unique_code,version,province_code,province_name_original,plot
517000.00129015767,4107000.0017199996,23030,04_0930_NN_A1_xx,ifn3,04,Almeria,0930
518000.00128943357,4107000.0017196257,23030,04_0931_NN_A1_xx,ifn3,04,Almeria,0931
520000.0012879865,4107000.001718878,23030,04_0932_NN_A1_xx,ifn3,04,Almeria,0932
521000.00128726347,4107000.0017185034,23030,04_0933_NN_A1_xx,ifn3,04,Almeria,0933
527000.0012829319,4107000.001716267,23030,04_0934_NN_A3C_xx,ifn3,04,Almeria,0934
527000.0012829319,4107000.001716267,23030,04_0934_xx_A3E_xx,ifn3,04,Almeria,0934
514000.00129270763,4106000.0017218506,23030,04_0935_NN_A1_xx,ifn3,04,Almeria,0935
520000.0012887372,4105000.0017203344,23030,04_0944_NN_A1_xx,ifn3,04,Almeria,0944
521000.0012880141,4105000.0017199595,23030,04_0945_NN_A1_xx,ifn3,04,Almeria,0945
524000.00128584635,4105000.00171884,23030,04_0946_NN_A1_xx,ifn3,04,Almeria,0946
525000.0012851245,4105000.001718467,23030,04_0947_NN_A1_xx,ifn3,04,Almeria,0947
526000.0012844028,4105000.001718095,23030,04_0948_NN_A1_xx,ifn3,04,Almeria,0948
527000.0012836818,4105000.0017177206,23030,04_0949_NN_A3C_xx,ifn3,04,Almeria,0949
527000.0012836818,4105000.0017177206,23030,04_0949_xx_A3E_xx,ifn3,04,Almeria,0949
528000.0012829608,4105000.001717347,23030,04_0950_NN_A1_xx,ifn3,04,Almeria,0950
529000.0012822401,4105000.0017169756,23030,04_0951_NN_A1_xx,ifn3,04,Almeria,0951
531000.0012807999,4105000.001716233,23030,04_0952_xx_A4C_xx,ifn3,04,Almeria,0952
517000.0012912846,4104000.001722184,23030,04_0953_NN_A1_xx,ifn3,04,Almeria,0953
518000.00129056035,4104000.0017218115,23030,04_0954_xx_A4_xx,ifn3,04,Almeria,0954
519000.0012898364,4104000.0017214376,23030,04_0955_NN_A3C_xx,ifn3,04,Almeria,0955
519000.0012898364,4104000.0017214376,23030,04_0955_xx_A3E_xx,ifn3,04,Almeria,0955
521000.00128838955,4104000.0017206874,23030,04_0957_NN_A1_xx,ifn3,04,Almeria,0957
522000.0012876665,4104000.0017203144,23030,04_0958_NN_A1_xx,ifn3,04,Almeria,0958
525000.0012854997,4104000.0017191935,23030,04_0959_NN_A1_xx,ifn3,04,Almeria,0959
526000.0012847779,4104000.001718823,23030,04_0960_xx_A4_xx,ifn3,04,Almeria,0960
527000.0012840567,4104000.00171845,23030,04_0961_NN_A1_xx,ifn3,04,Almeria,0961
