year,sp_code,elev_code,sp_elev,npp
2016,pinaster,low,pinaster_low,614.2
2016,pinaster,medium,pinaster_medium,754.4000000000001
2016,pinaster,high,pinaster_high,754.2
2016,sylvestris,low,sylvestris_low,922.9
2016,sylvestris,medium,sylvestris_medium,847
2016,sylvestris,high,sylvestris_high,539.7
2017,halepensis,medium,halepensis_medium,645.2
2017,halepensis,low,halepensis_low,266.40000000000003
2017,halepensis,high,halepensis_high,447.2000000000001
2017,nigra,low,nigra_low,610.8000000000001
2017,nigra,high,nigra_high,655.4000000000001
2017,nigra,medium,nigra_medium,628.9000000000001
2017,pinaster,low,pinaster_low,570.2
2017,pinaster,medium,pinaster_medium,685.5
2017,pinaster,high,pinaster_high,685.4000000000001
2017,sylvestris,low,sylvestris_low,903.9
2017,sylvestris,medium,sylvestris_medium,835.2
2017,sylvestris,high,sylvestris_high,583.9
2018,halepensis,medium,halepensis_medium,690.5
2018,halepensis,low,halepensis_low,295.90000000000003
2018,halepensis,high,halepensis_high,602.9
2018,nigra,low,nigra_low,715.3000000000001
2018,nigra,high,nigra_high,737.5
2018,nigra,medium,nigra_medium,739
2018,pinaster,low,pinaster_low,697
2018,pinaster,medium,pinaster_medium,780
2018,pinaster,high,pinaster_high,764
2018,sylvestris,low,sylvestris_low,959.6
2018,sylvestris,medium,sylvestris_medium,867.5
2018,sylvestris,high,sylvestris_high,641.1
2019,halepensis,medium,halepensis_medium,624.3000000000001
2019,halepensis,low,halepensis_low,310.1
2019,halepensis,high,halepensis_high,534.8000000000001
2019,nigra,low,nigra_low,732.3000000000001
2019,nigra,high,nigra_high,772.3000000000001
2019,nigra,medium,nigra_medium,743.5
2019,pinaster,low,pinaster_low,689.7
2019,pinaster,medium,pinaster_medium,782.3000000000001
2019,pinaster,high,pinaster_high,767.2
2019,sylvestris,low,sylvestris_low,946.4
2019,sylvestris,medium,sylvestris_medium,901.8
2019,sylvestris,high,sylvestris_high,655.8000000000001
2020,halepensis,medium,halepensis_medium,546.6
2020,halepensis,low,halepensis_low,247.7
2020,halepensis,high,halepensis_high,504.2000000000001
2020,nigra,low,nigra_low,722.4000000000001
2020,nigra,high,nigra_high,766.5
2020,nigra,medium,nigra_medium,737.3000000000001
2020,pinaster,low,pinaster_low,653.9000000000001
2020,pinaster,medium,pinaster_medium,702.8000000000001
2020,pinaster,high,pinaster_high,764.7
2020,sylvestris,low,sylvestris_low,908.3
2020,sylvestris,medium,sylvestris_medium,888
2020,sylvestris,high,sylvestris_high,613.6
2021,halepensis,medium,halepensis_medium,608.5
2021,halepensis,low,halepensis_low,267.40000000000003
2021,halepensis,high,halepensis_high,449.1
2021,nigra,low,nigra_low,771.2
2021,nigra,high,nigra_high,804.6
2021,nigra,medium,nigra_medium,771.5
2021,pinaster,low,pinaster_low,692.9000000000001
2021,pinaster,medium,pinaster_medium,840.2
2021,pinaster,high,pinaster_high,804.5
2021,sylvestris,low,sylvestris_low,971.7
2021,sylvestris,medium,sylvestris_medium,887.8000000000001
2021,sylvestris,high,sylvestris_high,652.7
2022,halepensis,medium,halepensis_medium,593.8000000000001
2022,halepensis,low,halepensis_low,301.2
2022,halepensis,high,halepensis_high,444.4
2022,nigra,low,nigra_low,607.7
2022,nigra,high,nigra_high,661.3000000000001
2022,nigra,medium,nigra_medium,649
2022,pinaster,low,pinaster_low,564.4
2022,pinaster,medium,pinaster_medium,680.1
2022,pinaster,high,pinaster_high,654.2
2022,sylvestris,low,sylvestris_low,837.2
2022,sylvestris,medium,sylvestris_medium,771.8000000000001
2022,sylvestris,high,sylvestris_high,582.3000000000001
