"COD_parcela";"nr_arboles"
"186-A-3C";6
"186-A-3E";4
"1863-A-6C";4
"1864-A-6C";34
"1865-A-6C";5
"1866-A-6C";11
"1867-A-6C";17
"187-A-1";3
"1871-A-6C";4
"1873-A-6C";34
"1875-A-6C";4
"1877-A-6C";23
"1879-A-6C";4
"188-A-1";3
"1881-A-6C";28
"189-A-4";16
"19-A-1";11
"190-A-4";3
"192-A-1";3
"193-A-4";29
"194-A-1";9
"195-A-3C";9
"195-A-3E";7
"196-A-3C";11
"196-A-3E";11
"197-A-1";3
"198-A-4C";2
"199-A-1";8
"2-A-1";3
"20-A-1";6
"2000-N-N";13
"2002-N-N";1
"2003-N-N";7
"2005-N-N";13
"2006-N-N";6
"2007-N-N";17
"2010-N-N";12
"2011-N-N";3
"2012-N-N";2
"2013-N-N";2
"2014-N-N";7
"2015-N-N";11
"2016-N-N";29
"2018-N-N";4
"202-A-1";3
"2020-N-N";4
"2022-N-N";25
"203-A-1";13
"2030-N-N";1
"2031-N-N";6
"2036-N-N";15
"2037-N-N";3
"2039-N-N";1
"204-A-1";9
"2040-N-N";7
"2041-N-N";4
"2044-N-N";24
"2045-N-N";8
"2048-N-N";1
"205-A-4";3
"2054-N-N";1
"2055-N-N";4
"2056-N-N";21
"2058-N-N";1
"2059-N-N";25
"206-A-1";12
"2062-N-N";12
"2063-N-N";8
"2064-N-N";8
"2066-N-N";1
"207-A-1";8
"2073-N-N";16
"2074-N-N";9
"2077-N-N";13
"2078-N-N";6
"2079-N-N";5
"208-A-1";5
"2082-N-N";4
"2084-N-N";33
"2087-N-N";1
"2089-N-N";7
"209-A-1";20
"2092-N-N";2
"2094-N-N";1
"2095-N-N";6
"2097-N-N";1
"2099-N-N";3
"21-A-1";19
"210-A-3C";1
"2100-N-N";3
"2103-N-N";5
"2106-N-N";1
"2107-N-N";2
"2108-N-N";9
"2110-N-N";12
"2111-N-N";3
"2113-N-N";3
"2116-N-N";1
"2117-N-N";10
"212-A-1";2
"2121-N-N";4
"2122-N-N";5
"2123-N-N";1
"2125-N-N";1
"2126-N-N";11
"2128-N-N";2
"2129-N-N";24
"2134-N-N";2
"2136-N-N";1
"2138-N-N";1
"2142-N-N";19
"2143-N-N";1
"2144-N-N";1
"2147-N-N";2
"2149-N-N";12
"215-A-1";8
"2150-N-N";14
"2151-N-N";3
"2152-N-N";2
"2155-N-N";7
"2156-N-N";1
"2158-N-N";3
"2159-N-N";3
"216-A-1";1
"2160-N-N";4
"2162-N-N";26
"2164-N-N";2
"2165-N-N";17
"2166-N-N";4
"2167-N-N";3
"2168-N-N";49
"2169-N-N";7
"217-A-1";10
"2170-N-N";2
"2172-N-N";3
"2173-N-N";3
"2174-N-N";6
"2175-N-N";1
"2176-N-N";7
"2178-N-N";11
"2179-N-N";1
"218-A-3C";9
"218-A-3E";1
"2181-N-N";8
"2182-N-N";1
"2184-N-N";3
"2185-N-N";5
"2190-N-N";2
"2193-N-N";12
"2194-N-N";4
"2198-N-N";44
"2199-N-N";15
"2200-N-N";21
"2201-N-N";12
"2203-N-N";5
"2204-N-N";7
"2206-N-N";12
"2207-N-N";2
"2208-N-N";23
"2209-N-N";1
"221-A-1";37
"2210-N-N";29
"2212-N-N";46
"2213-N-N";3
"2214-N-N";43
"222-A-1";5
"2220-N-N";5
"2222-N-N";2
"2224-N-N";7
"2225-N-N";36
"2226-N-N";5
"2228-N-N";2
"2229-N-N";31
"2232-N-N";15
"2234-N-N";1
"2236-N-N";11
"2237-N-N";4
"224-A-1";7
"2241-N-N";6
"2242-N-N";1
"2244-N-N";19
"2245-N-N";5
"2246-N-N";16
"2247-N-N";13
"2248-N-N";14
"2249-N-N";6
"225-A-3C";10
"2253-N-N";27
"2254-N-N";1
"2255-N-N";3
"2256-N-N";4
"2257-N-N";8
"2260-N-N";4
"2263-N-N";6
"2264-N-N";13
"2265-N-N";6
"2267-N-N";14
"2269-N-N";9
"2271-N-N";29
"2272-N-N";13
"2273-N-N";36
"2274-N-N";20
"2275-N-N";20
"2277-N-N";2
"2279-N-N";5
"2281-N-N";8
"2285-N-N";8
"2288-N-N";18
"2289-N-N";22
"229-A-1";19
"2290-N-N";1
"2291-N-N";37
"2292-N-N";17
"2294-N-N";18
"2295-N-N";5
"2296-N-N";23
"2297-N-N";20
"2299-N-N";21
"23-A-4";6
"230-A-3C";8
"230-A-3E";3
"2300-N-N";3
"2301-N-N";1
"2303-N-N";16
"2304-N-N";17
"2306-N-N";5
"2307-N-N";33
"2308-N-N";3
"2310-N-N";30
"2311-N-N";14
"2312-N-N";3
"2313-N-N";2
"2314-N-N";4
"2315-N-N";1
"2319-N-N";11
"232-A-1";6
"2320-N-N";7
"2321-N-N";24
"2323-N-N";17
"2324-N-N";14
"2325-N-N";1
"2326-N-N";16
"2327-N-N";7
"2328-N-N";4
"2329-N-N";23
"233-A-1";25
"2332-N-N";3
"2333-N-N";25
"2335-N-N";2
"2337-N-N";3
"2338-N-N";2
"2339-N-N";11
"234-A-1";18
"2342-N-N";3
"2345-N-N";2
"2346-N-N";5
"2347-N-N";8
"2350-N-N";36
"2351-N-N";17
"2352-N-N";7
"2353-N-N";8
"2354-N-N";9
"2355-N-N";17
"2357-N-N";1
"2358-N-N";4
"2359-N-N";1
"236-A-1";3
"2360-N-N";2
"2364-N-N";6
"2366-N-N";2
"2367-N-N";5
"2368-N-N";4
"2369-N-N";10
"237-A-1";26
"2370-N-N";1
"2372-N-N";6
"2374-N-N";8
"2375-N-N";1
"2377-N-N";11
"238-A-1";19
"2380-N-N";1
"2381-N-N";5
"2382-N-N";31
"2384-N-N";32
"2385-N-N";10
"2386-N-N";1
"2387-N-N";8
"2388-N-N";4
"2389-N-N";8
"239-A-1";11
"2390-N-N";30
"2391-N-N";24
"2392-N-N";3
"2398-N-N";2
"24-A-1";25
"2401-N-N";17
"2405-N-N";12
"2408-N-N";4
"2409-N-N";6
"2412-N-N";4
"2414-N-N";14
"2418-N-N";1
"242-A-1";26
"2420-N-N";15
"2421-N-N";3
"2422-N-N";15
"2423-N-N";19
"2424-N-N";29
"2425-N-N";28
"2426-N-N";20
"2427-N-N";5
"2429-N-N";42
"243-A-1";29
"2430-N-N";36
"2431-N-N";40
"2432-N-N";24
"2433-N-N";32
"2434-N-N";20
"2435-N-N";18
"2436-N-N";45
"2438-N-N";36
"244-A-1";7
"2440-N-N";21
"2441-N-N";18
"2442-N-N";12
"2444-N-N";8
"2446-N-N";1
"2448-N-N";13
"2449-N-N";7
"2450-N-N";2
"2451-N-N";1
"2452-N-N";26
"2453-N-N";4
"2454-N-N";1
"2455-N-N";7
"2456-N-N";6
"2458-N-N";2
"2461-N-N";4
"2462-N-N";1
"2464-N-N";5
"2465-N-N";5
"2467-N-N";4
"247-A-1";1
"2471-N-N";9
"2473-N-N";4
"2474-N-N";2
"2475-N-N";7
"2476-N-N";3
"2477-N-N";10
"2478-N-N";1
"248-A-3C";14
"248-A-3E";32
"2481-N-N";14
"2483-N-N";9
"2486-N-N";9
"2487-N-N";11
"2488-N-N";1
"249-A-4";16
"2490-N-N";18
"2492-N-N";2
"2495-N-N";6
"2496-N-N";6
"2497-N-N";9
"2499-N-N";31
