"Estadillo";"Cla";"Subclase";"CoorX";"Coory"
587;"A";"4";459000;4138000
588;"A";"1";462000;4138000
589;"A";"1";463971;4137999
590;"A";"1";464990;4137997
591;"A";"4";468000;4138000
592;"A";"1";469000;4138000
593;"A";"1";470000;4138000
594;"A";"1";454991;4136964
595;"A";"1";455986;4136950
596;"A";"1";456995;4136962
597;"A";"1";457991;4136986
598;"A";"1";458978;4136995
599;"A";"1";459999;4136993
600;"A";"3C";462977;4136995
600;"A";"3E";463007;4137002
601;"A";"1";463950;4136980
602;"A";"1";470018;4136941
604;"A";"1";457953;4136026
605;"A";"3C";460947;4135982
605;"A";"3E";461000;4136000
606;"A";"1";462001;4135999
607;"A";"1";462970;4135985
608;"A";"4";470000;4136000
609;"A";"1";470957;4135978
610;"A";"4";454000;4135000
612;"A";"1";459989;4134975
613;"A";"1";460981;4134982
614;"A";"1";462000;4135000
615;"A";"1";463959;4134983
616;"A";"1";453975;4134011
617;"A";"1";455978;4133967
618;"A";"1";456981;4133958
619;"A";"3C";457991;4133981
619;"A";"3E";457985;4134018
620;"A";"1";458985;4133952
621;"A";"1";460000;4134000
623;"A";"1";465983;4133001
625;"A";"1";485958;4149993
632;"A";"1";502989;4149061
635;"A";"1";500975;4148042
640;"A";"1";501999;4147048
641;"A";"1";502976;4147054
642;"A";"1";505968;4147053
644;"A";"1";502000;4146000
646;"A";"1";512006;4145983
649;"A";"1";511943;4145040
650;"A";"1";510995;4144013
651;"A";"1";512008;4143030
653;"A";"1";508016;4141992
654;"A";"1";509990;4142019
655;"A";"1";511006;4142042
656;"A";"1";512057;4142020
657;"A";"1";513013;4141981
659;"A";"3C";508989;4141079
659;"A";"3E";508978;4140991
660;"A";"3C";509985;4141057
660;"A";"3E";510000;4141000
661;"A";"1";510979;4141008
662;"A";"1";512984;4141015
663;"A";"1";511987;4138989
664;"A";"1";513021;4138986
667;"A";"1";509989;4138002
668;"A";"1";512993;4138018
669;"A";"1";509904;4136915
670;"A";"1";510985;4136993
672;"A";"1";511013;4136121
673;"A";"1";511983;4136055
674;"A";"1";512993;4136065
680;"A";"4";503002;4133000
682;"A";"1";539978;4148996
683;"A";"1";540979;4147973
684;"A";"4";542000;4148000
685;"A";"1";514000;4147000
686;"A";"1";514978;4147032
689;"A";"1";538941;4146988
690;"A";"1";540954;4147006
691;"A";"1";512982;4146021
692;"A";"1";514979;4146015
693;"A";"1";517003;4146011
695;"A";"1";538992;4146009
696;"A";"1";514002;4144999
697;"A";"1";515973;4145018
698;"A";"1";516987;4145019
699;"A";"1";517950;4144995
701;"A";"1";513964;4144049
702;"A";"1";514978;4144025
703;"A";"1";515992;4144026
704;"A";"1";518000;4144000
707;"A";"1";514986;4143032
708;"A";"1";513994;4141963
709;"A";"1";516010;4141995
710;"A";"1";516998;4141994
711;"A";"1";516036;4141021
712;"A";"1";521013;4140992
713;"A";"3C";513961;4140078
713;"A";"3E";514000;4140000
714;"A";"1";515006;4140026
715;"A";"1";516995;4140012
716;"A";"1";518026;4140004
717;"A";"1";514975;4139004
718;"A";"1";516022;4138969
719;"A";"1";516992;4138982
721;"A";"1";514024;4137990
729;"A";"1";521040;4137006
730;"A";"1";522010;4136991
733;"A";"1";516975;4136042
734;"A";"1";518995;4136001
735;"A";"1";520024;4136013
736;"A";"1";520961;4136029
737;"A";"1";525018;4136017
738;"A";"4C";526000;4136000
740;"A";"1";513960;4135108
742;"A";"1";516998;4135041
743;"A";"1";518028;4135040
744;"A";"1";520043;4135044
745;"A";"4C";524000;4135000
748;"A";"4";514000;4134000
749;"A";"1";514987;4134042
750;"A";"3C";518016;4134087
750;"A";"3E";518000;4134000
751;"A";"1";519006;4134034
752;"A";"1";521048;4134036
753;"A";"4C";522000;4134000
754;"A";"4C";525016;4134000
755;"A";"1";514926;4133013
756;"A";"1";518983;4133015
757;"A";"1";520034;4133027
758;"A";"1";521034;4133036
759;"A";"1";522029;4133041
760;"A";"1";523043;4133044
762;"A";"1";525040;4133069
763;"A";"4C";526000;4133000
764;"A";"3C";542963;4150000
764;"A";"3E";543000;4150000
766;"A";"3C";545974;4150008
766;"A";"3E";546000;4149975
767;"A";"1";543994;4148993
769;"A";"1";386999;4117017
770;"A";"1";385998;4115989
771;"A";"3C";389005;4116001
771;"A";"3E";388997;4116003
772;"A";"3C";386987;4114981
772;"A";"3E";386980;4115013
775;"A";"1";418948;4132007
776;"A";"1";401047;4130963
777;"A";"1";402993;4130016
780;"A";"1";406993;4129021
784;"A";"3C";405005;4128021
784;"A";"3E";405000;4128000
787;"A";"4";0;0
790;"A";"3C";418983;4127977
790;"A";"3E";419005;4128008
792;"A";"3C";408988;4127035
792;"A";"3E";409000;4127000
794;"A";"3C";417017;4127032
794;"A";"3E";417000;4127000
795;"A";"3C";404998;4126023
795;"A";"3E";405016;4125984
797;"A";"3C";418938;4125984
797;"A";"3E";419000;4126000
798;"A";"1";420945;4123992
799;"A";"1";394973;4123056
801;"A";"1";401997;4118979
802;"A";"4C";413000;4119000
810;"A";"1";427928;4131037
812;"A";"4";0;0
813;"A";"1";451993;4124986
814;"A";"1";453023;4125012
816;"A";"1";452986;4124012
817;"A";"3C";435011;4123005
817;"A";"3E";0;0
818;"A";"3C";439012;4123023
818;"A";"3E";439000;4123000
820;"A";"1";452004;4122046
822;"A";"6C";428980;4120976
824;"A";"1";453000;4121026
825;"A";"1";451989;4120011
826;"A";"6C";428000;4119000
827;"A";"6C";430000;4119000
828;"A";"6C";431000;4119000
829;"A";"6C";434000;4119000
830;"A";"6C";436000;4119000
832;"A";"6C";425000;4118000
833;"A";"6C";435000;4118000
834;"A";"6C";436000;4118000
841;"A";"4";450000;4115000
843;"A";"4C";450000;4114000
851;"A";"1";459003;4129972
852;"A";"1";465002;4130025
853;"A";"1";474990;4129986
854;"A";"1";475986;4129965
855;"A";"3C";458949;4128950
855;"A";"3E";458984;4129019
856;"A";"1";459994;4128954
858;"A";"4";464000;4129000
859;"A";"4";466000;4129000
860;"A";"3C";473923;4128966
860;"A";"3E";474000;4129000
861;"A";"1";455953;4128034
862;"A";"1";457980;4127983
863;"A";"1";462932;4127981
864;"A";"1";463915;4128000
865;"A";"4";465000;4128000
866;"A";"3C";466979;4127998
866;"A";"3E";466989;4128020
867;"A";"1";468000;4128000
869;"A";"1";470994;4127974
870;"A";"1";475931;4127962
873;"A";"4";454000;4127000
875;"A";"4";457000;4127000
877;"A";"1";458987;4126985
878;"A";"1";459983;4127004
879;"A";"1";461024;4127000
880;"A";"1";461966;4126992
881;"A";"4C";463000;4127000
882;"A";"1";464987;4126976
883;"A";"1";465977;4126998
886;"A";"1";469987;4126992
888;"A";"4C";476000;4127000
889;"A";"1";453959;4126005
890;"A";"1";455016;4125986
891;"A";"1";455989;4125983
892;"A";"1";456953;4126015
893;"A";"3C";458990;4125962
893;"A";"3E";459000;4126000
896;"A";"1";461976;4125983
897;"A";"1";463951;4125954
902;"A";"1";478961;4125976
906;"A";"1";463018;4124960
907;"A";"1";463989;4124972
912;"A";"1";470998;4125007
914;"A";"1";480971;4124999
916;"A";"1";454045;4123991
918;"A";"1";456983;4123999
920;"A";"4";461000;4124000
921;"A";"1";461976;4123950
922;"A";"1";463011;4123954
925;"A";"1";468975;4123971
926;"A";"1";470000;4124000
927;"A";"4";471000;4124000
930;"A";"3C";474960;4123938
930;"A";"3E";474973;4124033
932;"A";"3C";480979;4123979
932;"A";"3E";481002;4124000
933;"A";"1";454024;4122997
934;"A";"4";455000;4123000
935;"A";"1";455953;4123027
936;"A";"1";457011;4122978
937;"A";"1";458965;4122935
938;"A";"1";459957;4122949
939;"A";"1";463963;4122952
943;"A";"4";472000;4123000
950;"A";"1";465000;4122000
951;"A";"4";466000;4122000
952;"A";"1";467996;4122032
953;"A";"1";469038;4122027
954;"A";"1";470998;4121952
955;"A";"1";472998;4121977
956;"A";"1";474987;4121978
957;"A";"1";476000;4122000
958;"A";"1";453954;4121014
959;"A";"1";454988;4121030
960;"A";"1";456982;4121023
962;"A";"1";461011;4120982
967;"A";"1";468962;4121014
970;"A";"1";471980;4120959
971;"A";"1";473002;4120966
972;"A";"4";474000;4121000
973;"A";"1";477010;4120955
975;"A";"4";460992;4119990
977;"A";"4";463955;4119999
980;"A";"1";473981;4119945
981;"A";"1";482013;4119976
983;"A";"1";462973;4118955
985;"A";"3C";464999;4118975
985;"A";"3E";465000;4119000
987;"A";"4C";477019;4118978
988;"A";"4";483000;4119000
990;"A";"1";483000;4118000
993;"A";"1";481968;4116030
994;"A";"1";482987;4116068
997;"A";"1";479971;4115051
998;"A";"1";481931;4115023
1000;"A";"4";480000;4114000
1001;"A";"1";480944;4114022
1008;"A";"1";484003;4130967
1015;"A";"3C";504949;4130999
1015;"A";"3E";504962;4130960
1016;"A";"1";506975;4130998
1018;"A";"1";512945;4130996
1019;"A";"1";485012;4129959
1020;"A";"1";489995;4129957
1021;"A";"4";508000;4130000
1022;"A";"3C";509927;4130001
1022;"A";"3E";509968;4129977
1028;"A";"3C";510974;4129000
1028;"A";"3E";510980;4128985
1029;"A";"1";511939;4129002
1031;"A";"3C";507920;4127961
1031;"A";"3E";507986;4128000
1032;"A";"4";509000;4128000
1033;"A";"1";509947;4127993
1035;"A";"1";509989;4126997
1036;"A";"3C";510988;4126961
1036;"A";"3E";511000;4126999
1038;"A";"3C";512942;4127001
1038;"A";"3E";513000;4127000
1039;"A";"4";489000;4126000
1040;"A";"1";490977;4125947
1042;"A";"1";511000;4126000
1044;"A";"1";508988;4124986
1045;"A";"1";510000;4124989
1046;"A";"1";489973;4123968
1047;"A";"1";492001;4123968
1048;"A";"1";492983;4123961
1049;"A";"1";510000;4124000
1050;"A";"1";510979;4124012
1051;"A";"1";512000;4124000
1053;"A";"1";511000;4123000
1054;"A";"1";512000;4123000
1055;"A";"1";490993;4121968
1059;"A";"3C";488994;4118945
1059;"A";"3E";0;0
1060;"A";"3C";483990;4117942
1060;"A";"3E";484012;4118004
1061;"A";"1";485979;4117976
1062;"A";"1";485003;4116992
1063;"A";"3C";483951;4116044
1063;"A";"3E";484000;4116000
1065;"A";"4";489000;4116000
1066;"A";"1";483969;4115021
1067;"A";"4";486000;4114005
1068;"A";"1";489994;4114028
1069;"A";"1";491014;4113972
1070;"A";"4";492000;4114000
1071;"A";"1";495991;4113995
1073;"A";"1";518073;4131994
1074;"A";"1";520059;4132029
1075;"A";"1";521015;4132015
1079;"A";"1";516011;4131015
1080;"A";"1";517019;4131005
1082;"A";"1";519000;4131000
1083;"A";"1";522029;4130984
1087;"A";"1";526023;4131000
1088;"A";"1";528031;4131023
1090;"A";"1";515045;4130045
1091;"A";"3C";516051;4130021
1091;"A";"3E";516000;4130000
1092;"A";"3C";517022;4129992
1092;"A";"3E";516969;4129992
1093;"A";"1";519000;4130000
1094;"A";"1";520069;4130014
1095;"A";"3C";521067;4130025
1095;"A";"3E";521000;4130000
1096;"A";"1";523061;4130004
1097;"A";"1";524033;4130041
1098;"A";"1";526053;4130030
1099;"A";"1";527001;4130024
1102;"A";"3C";530058;4130018
1102;"A";"3E";530000;4130000
1105;"A";"3C";518061;4128995
1105;"A";"3E";517982;4128979
1106;"A";"1";520029;4129013
1107;"A";"1";521072;4128999
1109;"A";"1";525017;4128984
1110;"A";"1";514066;4128018
1111;"A";"1";515051;4128005
1112;"A";"1";516060;4128021
1113;"A";"3C";517058;4127924
1113;"A";"3E";516974;4127994
1114;"A";"1";518085;4127952
1115;"A";"1";519073;4127991
1116;"A";"1";522053;4127988
1117;"A";"1";523057;4128039
1118;"A";"4";523996;4127957
1119;"A";"3C";525042;4127985
1119;"A";"3E";525000;4128000
1120;"A";"1";526030;4128040
1121;"A";"4";516000;4127000
1122;"A";"1";516981;4127003
1123;"A";"1";518989;4127036
1124;"A";"3C";519954;4127046
1124;"A";"3E";520000;4127002
1125;"A";"3C";520961;4127081
1125;"A";"3E";521000;4127000
1126;"A";"1";522971;4126990
1127;"A";"1";524041;4127025
1129;"A";"1";519925;4126071
1130;"A";"1";520961;4126058
1131;"A";"1";522047;4126013
1132;"A";"1";525031;4126031
1133;"A";"1";526069;4126023
1134;"A";"1";517020;4125003
1135;"A";"1";517997;4124992
1136;"A";"1";519049;4125022
1137;"A";"1";522012;4125026
1138;"A";"1";519961;4124031
1139;"A";"1";520992;4124001
1140;"A";"1";525024;4123049
1141;"A";"1";383976;4113976
1142;"A";"1";384983;4113976
1143;"A";"1";385985;4113983
1144;"A";"1";386985;4113988
1145;"A";"1";387980;4113988
1146;"A";"1";388980;4114013
1147;"A";"1";389998;4114000
1148;"A";"3C";385969;4108026
1148;"A";"3E";385994;4108005
1149;"A";"1";390941;4102043
1151;"A";"1";390929;4099977
1152;"A";"1";391939;4098992
1153;"A";"1";389936;4097993
1154;"A";"1";391988;4098008
1155;"A";"1";391933;4096899
1156;"A";"1";393979;4096014
1158;"A";"1";411971;4113008
1161;"A";"1";408007;4103011
1162;"A";"4";0;0
1165;"A";"1";406025;4098968
1169;"A";"1";404068;4096993
1171;"A";"1";403108;4096046
1173;"A";"1";452013;4112024
1176;"A";"3C";449006;4108007
1176;"A";"3E";448982;4107975
1177;"A";"1";451018;4107993
1180;"A";"1";450005;4107001
1181;"A";"1";451030;4106995
1182;"A";"1";452023;4107004
1184;"A";"3C";452004;4106021
1184;"A";"3E";451997;4105976
1187;"A";"1";452967;4103032
1188;"A";"1";449950;4102035
1189;"A";"1";450943;4102072
1191;"A";"4";444000;4101000
1193;"A";"1";450022;4101013
1196;"A";"1";444954;4100006
1197;"A";"1";445978;4100014
1200;"A";"3C";449040;4100026
1200;"A";"3E";448973;4099989
1201;"A";"1";451062;4100060
1202;"A";"4";453005;4100014
1203;"A";"1";430001;4099063
1204;"A";"1";446031;4099020
1205;"A";"4C";447000;4099000
1206;"A";"1";448006;4099075
1207;"A";"1";449061;4099058
1208;"A";"1";432975;4098047
1211;"A";"1";433963;4097031
1214;"A";"1";433973;4096038
1216;"A";"1";452035;4095950
1219;"A";"1";480944;4113032
1220;"A";"1";481962;4112999
1221;"A";"1";453958;4112003
1222;"A";"1";461918;4112021
1223;"A";"1";481960;4112013
1224;"A";"3C";458940;4110973
1224;"A";"3E";459007;4111014
1225;"A";"1";460967;4110977
1226;"A";"1";461965;4110995
1228;"A";"1";480969;4111018
1229;"A";"1";482992;4111036
1230;"A";"1";459919;4110005
1231;"A";"4";463033;4110006
1232;"A";"3C";463993;4109987
1232;"A";"3E";463977;4110032
1233;"A";"1";464957;4110041
1234;"A";"4";465977;4109989
1235;"A";"1";481000;4110000
1236;"A";"1";481975;4110003
1237;"A";"3C";483046;4109917
1237;"A";"3E";483000;4110000
1238;"A";"1";460936;4109012
1239;"A";"1";462951;4108980
1240;"A";"1";464002;4109002
1241;"A";"4";468000;4108997
1242;"A";"4";0;0
1244;"A";"1";453909;4108045
1245;"A";"3C";454920;4108033
1245;"A";"3E";455027;4108003
1246;"A";"1";455956;4107990
1247;"A";"3C";456921;4107994
1247;"A";"3E";457011;4107967
1248;"A";"1";458037;4107959
1249;"A";"1";458947;4108016
