"COD_parcela";"Especie";"nr_arboles"
"1346-A-3E";"25";2
"1346-A-3E";"26";17
"1347-A-4";"21";3
"1347-A-4";"25";16
"1348-A-1";"21";37
"1348-A-1";"26";11
"1349-A-1";"25";11
"1349-A-1";"26";47
"135-A-1";"24";5
"135-A-1";"25";1
"135-A-1";"26";2
"1350-A-1";"21";15
"1350-A-1";"26";1
"1350-A-1";"45";5
"1351-A-1";"21";1
"1351-A-1";"25";7
"1351-A-1";"26";18
"1352-A-3C";"25";9
"1352-A-3C";NA;10
"1352-A-3E";"25";35
"1353-A-1";"21";28
"1353-A-1";"215";2
"1354-A-1";"21";32
"1355-A-3E";"21";19
"1355-A-3E";"26";23
"1355-A-3E";"215";1
"1356-A-3C";"21";27
"1356-A-3C";"26";14
"1356-A-3E";"21";14
"1356-A-3E";"26";26
"1357-A-1";"21";11
"1357-A-1";"26";1
"1358-A-1";"21";22
"1358-A-1";"25";13
"1359-A-1";"21";27
"1359-A-1";"26";26
"136-A-1";"24";13
"136-A-1";"25";3
"1360-A-1";"21";9
"1360-A-1";"26";18
"1361-A-1";"25";30
"1362-A-1";"21";5
"1362-A-1";"25";20
"1363-A-1";"21";21
"1364-A-3C";"21";48
"1364-A-3E";"21";15
"1365-A-1";"25";18
"1365-A-1";"26";65
"1366-A-1";"21";1
"1366-A-1";"25";45
"1367-A-1";"25";13
"1367-A-1";"56";5
"1367-A-1";"92";2
"1367-A-1";NA;1
"1368-A-1";"21";8
"1368-A-1";"25";1
"1368-A-1";"26";7
"1368-A-1";NA;35
"137-A-1";"24";1
"137-A-1";"25";1
"1370-A-1";"21";8
"1370-A-1";"25";46
"1372-A-1";"21";39
"1373-A-1";"21";55
"1373-A-1";"25";7
"1373-A-1";NA;1
"1376-A-3C";"21";21
"1376-A-3C";NA;16
"1376-A-3E";"21";2
"1390-A-1";"21";39
"1394-A-3E";"21";6
"1395-A-1";"21";43
"1398-A-1";"21";37
"14-A-4";"25";27
"14-A-4";"45";2
"1402-A-1";"21";29
"1406-A-3C";"21";6
"1406-A-3C";"45";15
"1407-A-1";"45";16
"1408-A-1";"21";16
"1411-A-3C";"45";10
"1411-A-3E";"72";1
"1413-A-1";"45";19
"1414-A-1";"45";6
"1416-A-1";"21";6
"1416-A-1";"25";1
"1416-A-1";"26";27
"1416-A-1";"317";1
"1419-A-1";"21";19
"1419-A-1";"25";10
"1419-A-1";"26";32
"1420-A-1";"45";10
"1420-A-1";"72";1
"1421-A-1";"21";1
"1421-A-1";"25";28
"1421-A-1";"45";8
"1424-A-1";"45";5
"1428-A-3E";"24";2
"1428-A-3E";"45";11
"1429-A-3C";"45";4
"1429-A-3E";"45";4
"1429-A-3E";"95";3
"1430-A-1";"45";1
"1431-A-1";"24";21
"1431-A-1";"26";22
"1432-A-1";"45";1
"1432-A-1";"95";1
"1434-A-1";"24";21
"1434-A-1";"26";10
"1434-A-1";"45";1
"1436-A-1";"24";25
"1436-A-1";"36";1
"1437-A-1";"26";8
"1439-A-1";"45";3
"1441-A-3C";"26";16
"1441-A-3E";"26";39
"1443-A-3C";"26";13
"1443-A-3C";"45";3
"1443-A-3C";NA;19
"1443-A-3E";"26";25
"1444-A-1";"24";7
"1444-A-1";"26";15
"1445-A-1";"45";3
"1446-A-1";"45";5
"1447-A-1";"26";31
"1447-A-1";NA;23
"1448-A-1";"45";5
"145-A-1";"24";11
"1450-A-1";"25";10
"1452-A-1";"21";12
"1452-A-1";"45";14
"1453-A-3C";"21";1
"1453-A-3C";"26";14
"1453-A-3E";"25";6
"1453-A-3E";"26";25
"1454-A-1";"24";9
"1454-A-1";"25";2
"1454-A-1";"26";20
"1454-A-1";"45";9
"1459-A-1";"24";13
"1459-A-1";"25";3
"1459-A-1";"26";3
"1460-A-1";"24";1
"1460-A-1";"26";32
"1464-A-3C";"476";7
"1467-A-4";"26";3
"1469-A-1";"26";14
"1469-A-1";"39";13
"1473-A-3C";"26";15
"1473-A-3E";"26";6
"1474-A-4";"26";4
"1475-A-3C";"26";11
"1475-A-3C";NA;3
"1476-A-1";"26";12
"1477-A-3C";"26";3
"1477-A-3E";"26";4
"1478-A-4C";"39";3
"1479-A-4C";"26";1
"148-A-1";"25";3
"148-A-1";"39";16
"1481-A-1";"26";13
"1482-A-1";"26";7
"1483-A-1";"26";1
"1484-A-1";"45";2
"1485-A-1";"24";20
"1486-A-1";"24";5
"1488-A-3C";"24";3
"1488-A-3C";"26";1
"1488-A-3C";"45";1
"1488-A-3E";"24";1
"1488-A-3E";"25";4
"1488-A-3E";"26";1
"1488-A-3E";"45";2
"1493-A-1";"24";7
"1493-A-1";"26";1
"1493-A-1";NA;1
"1494-A-1";"24";13
"1494-A-1";NA;2
"1495-A-1";"24";11
"1498-A-4";"24";3
"1499-A-1";"24";11
"15-A-1";"45";1
"15-A-1";NA;10
"1500-A-1";"24";17
"1502-A-1";"24";1
"1502-A-1";"45";3
"1503-A-1";"26";15
"151-A-1";"24";2
"151-A-1";"25";7
"1511-A-4";"24";6
"1514-A-3C";"23";2
"1514-A-3E";"23";6
"1516-A-1";"24";2
"1516-A-1";"26";10
"152-A-1";"24";3
"152-A-1";"25";8
"1522-A-1";"23";8
"1522-A-1";"24";4
"1523-A-1";"24";5
"1525-A-1";"24";8
"1525-A-1";"26";3
"1525-A-1";"56";1
"1525-A-1";"57";5
"1525-A-1";NA;9
"1527-A-1";"26";19
"1528-A-1";"24";3
"1528-A-1";"26";8
"1529-A-3C";"24";6
"1529-A-3E";"24";4
"1529-A-3E";"26";6
"1531-A-4";"24";9
"1532-A-1";"24";5
"1532-A-1";"26";2
"1533-A-4C";"24";7
"1533-A-4C";"26";4
"1534-A-3C";"24";2
"1534-A-3E";"24";3
"1536-A-1";"26";5
"1536-A-1";"57";3
"1537-A-1";"24";6
"1537-A-1";"26";6
"1538-A-1";"26";14
"1539-A-3C";"24";13
"1539-A-3C";"26";1
"1539-A-3E";"24";8
"154-A-1";"24";14
"154-A-1";"25";18
"154-A-1";NA;1
"1540-A-4";"24";3
"1543-A-1";"24";1
"1543-A-1";"26";21
"1545-A-3C";"23";3
"1545-A-3C";"26";3
"1545-A-3C";NA;2
"1545-A-3E";"24";2
"1545-A-3E";"26";4
"1546-A-4";"24";1
"1547-A-1";"26";4
"1548-A-1";"24";1
"1548-A-1";"26";8
"1549-A-1";"26";12
"1549-A-1";"45";3
"1549-A-1";NA;1
"155-A-1";"24";6
"1550-A-4";"24";13
"1550-A-4";"26";2
"1551-A-1";"24";14
"1552-A-1";"24";21
"1552-A-1";"26";1
"1552-A-1";NA;1
"1553-A-1";"24";21
"1554-A-1";"24";16
"1555-A-1";"24";12
"1556-A-1";"24";27
"1556-A-1";"26";1
"1556-A-1";NA;2
"1557-A-4C";"24";2
"1560-A-1";"24";14
"1560-A-1";"26";1
"1562-A-1";"24";4
"1562-A-1";"26";3
"1564-A-1";"26";3
"1566-A-1";"24";8
"1567-A-1";"24";5
"1568-A-1";"24";10
"1568-A-1";"26";1
"1568-A-1";NA;3
"1570-A-3C";"24";18
"1570-A-3C";"45";1
"1570-A-3E";"24";11
"1574-A-1";"26";10
"1575-A-3C";"23";3
"1575-A-3C";"24";1
"1575-A-3C";"25";1
"1575-A-3C";"26";3
"1575-A-3C";"45";9
"1575-A-3C";"356";1
"1576-A-3C";"26";27
"1576-A-3E";"26";31
"1578-A-1";"26";25
"1579-A-4";"26";7
"158-A-4C";"45";1
"1580-A-4";"26";9
"1581-A-1";"26";12
"1582-A-1";NA;9
"1583-A-1";NA;20
"1584-A-1";"24";15
"1585-A-1";"24";35
"1586-A-1";"24";8
"1587-A-3C";"26";1
"1589-A-1";"57";8
"1589-A-1";"75";1
"1592-A-3C";"26";7
"1592-A-3E";"26";7
"1593-A-1";"26";14
"1595-A-1";"26";11
"1595-A-1";"43";18
"1595-A-1";NA;4
"1597-A-1";"26";1
"1599-A-1";NA;16
"16-A-1";"25";5
"16-A-1";NA;2
"160-A-1";"45";11
"1600-A-1";"24";11
"1600-A-1";NA;1
"1603-A-1";"24";7
"1604-A-1";"26";6
"1608-A-4";"26";3
"1609-A-1";"26";15
"161-A-1";"25";17
"1613-A-1";"26";9
"1615-A-1";NA;12
"1617-A-1";"24";5
"1617-A-1";"26";8
"1619-A-1";"24";1
"162-A-1";"25";27
"1620-A-4";"26";6
"1622-A-1";"26";5
"163-A-1";"24";19
"1632-A-1";"24";13
"1633-A-1";"24";7
"1635-A-1";"24";8
"1636-A-1";"24";12
"1644-A-1";"24";1
"1644-A-1";"26";8
"1645-A-1";"26";9
"1646-A-1";NA;17
"1647-A-1";"24";11
"1648-A-3C";"24";3
"1648-A-3C";NA;7
"1648-A-3E";"24";4
"165-A-1";"24";1
"165-A-1";"25";7
"1650-A-1";"26";2
"1653-A-1";"26";29
"1656-A-1";NA;14
"1657-A-1";"24";20
"1657-A-1";NA;2
"1658-A-1";"24";9
"166-A-3C";"24";1
"166-A-3C";"25";7
"166-A-3E";"25";7
"1662-A-1";"26";7
"1663-A-1";"24";4
"1663-A-1";NA;5
"1664-A-1";"24";6
"1665-A-1";"24";7
"1667-A-1";"24";41
"1670-A-3C";"22";13
"1672-A-1";"45";21
"1674-A-1";"21";24
"1675-A-1";"21";14
"1677-A-1";"24";7
"1678-A-1";NA;14
"168-A-3C";"25";1
"168-A-3C";"45";4
"1682-A-1";"21";19
